Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,0.021678,0.032226,0.017354,0.024969,0.024969,50068700
2017-10-02,0.024607,0.030088,0.019969,0.025932,0.025932,57641300
2017-10-03,0.025757,0.027425,0.020690,0.020816,0.020816,16997800
2017-10-04,0.020864,0.022806,0.020864,0.021931,0.021931,9000050
2017-10-05,0.021951,0.022154,0.020859,0.021489,0.021489,5562510
2017-10-06,0.021359,0.021542,0.018360,0.018539,0.018539,7780710
2017-10-07,0.018414,0.021050,0.017620,0.020941,0.020941,7411240
2017-10-08,0.020929,0.023598,0.020147,0.020477,0.020477,7727460
2017-10-09,0.020344,0.022807,0.020342,0.022114,0.022114,4663310
2017-10-10,0.022112,0.022446,0.021279,0.021531,0.021531,2725600
2017-10-11,0.021480,0.022576,0.020976,0.022520,0.022520,3606720
2017-10-12,0.022538,0.026763,0.021825,0.026252,0.026252,8680640
2017-10-13,0.026061,0.033816,0.025195,0.033641,0.033641,15613600
2017-10-14,0.033876,0.038268,0.029255,0.032465,0.032465,27853200
2017-10-15,0.032874,0.033641,0.028694,0.030049,0.030049,7104990
2017-10-16,0.029939,0.030749,0.028577,0.028948,0.028948,6196030
2017-10-17,0.028953,0.029628,0.025481,0.027217,0.027217,7039900
2017-10-18,0.027219,0.027360,0.024637,0.026691,0.026691,2336180
2017-10-19,0.026704,0.027112,0.025772,0.027032,0.027032,2897720
2017-10-20,0.026982,0.030855,0.026612,0.030630,0.030630,8716410
2017-10-21,0.030806,0.030806,0.027977,0.028436,0.028436,5344520
2017-10-22,0.028565,0.028744,0.027093,0.027729,0.027729,2930210
2017-10-23,0.027684,0.028051,0.024345,0.025454,0.025454,3517050
2017-10-24,0.025339,0.028956,0.023766,0.027193,0.027193,7589560
2017-10-25,0.027038,0.027846,0.026107,0.027527,0.027527,2561430
2017-10-26,0.027409,0.027560,0.026478,0.027132,0.027132,2437710
2017-10-27,0.027138,0.027463,0.025674,0.026382,0.026382,2511440
2017-10-28,0.026339,0.026853,0.025593,0.025866,0.025866,1739460
2017-10-29,0.025831,0.029837,0.025626,0.028607,0.028607,4746180
2017-10-30,0.028318,0.028874,0.027586,0.028583,0.028583,3781270
2017-10-31,0.028547,0.030715,0.028075,0.030437,0.030437,7304450
2017-11-01,0.029127,0.029219,0.022986,0.022986,0.022986,9382780
2017-11-02,0.023079,0.024977,0.018210,0.021306,0.021306,6165050
2017-11-03,0.021418,0.023213,0.019827,0.022628,0.022628,2836080
2017-11-04,0.022641,0.023849,0.021970,0.022022,0.022022,2626920
2017-11-05,0.022054,0.023006,0.020635,0.020635,0.020635,2396230
2017-11-06,0.020977,0.023609,0.020534,0.021881,0.021881,4591160
2017-11-07,0.021846,0.023347,0.021414,0.022195,0.022195,2539540
2017-11-08,0.021912,0.026393,0.021660,0.025186,0.025186,6367000
2017-11-09,0.025160,0.035060,0.025006,0.032053,0.032053,18716200
2017-11-10,0.032219,0.033348,0.026451,0.027119,0.027119,6766780
2017-11-11,0.026891,0.029659,0.025684,0.027437,0.027437,5532220
2017-11-12,0.027480,0.027952,0.022591,0.023977,0.023977,7280250
2017-11-13,0.024364,0.026300,0.023495,0.025808,0.025808,4419440
2017-11-14,0.025797,0.026788,0.025342,0.026230,0.026230,3033290
2017-11-15,0.026116,0.027773,0.025261,0.026445,0.026445,6858800
2017-11-16,0.026583,0.028170,0.025654,0.027580,0.027580,4888130
2017-11-17,0.027143,0.027436,0.025184,0.025773,0.025773,3578870
2017-11-18,0.025597,0.027122,0.024748,0.026369,0.026369,2930550
2017-11-19,0.026243,0.028478,0.025581,0.028084,0.028084,4725050
2017-11-20,0.028152,0.032300,0.027612,0.029581,0.029581,16172400
2017-11-21,0.029587,0.029709,0.027404,0.028330,0.028330,5836790
2017-11-22,0.028399,0.029034,0.027891,0.028549,0.028549,4938480
2017-11-23,0.028540,0.028678,0.027444,0.027444,0.027444,5132300
2017-11-24,0.027406,0.028597,0.026963,0.028382,0.028382,5502350
2017-11-25,0.028324,0.030447,0.027747,0.030447,0.030447,6156460
2017-11-26,0.030437,0.039855,0.030118,0.036332,0.036332,30527100
2017-11-27,0.036619,0.057127,0.036619,0.050593,0.050593,77777296
2017-11-28,0.050627,0.131730,0.047949,0.119744,0.119744,240338000
2017-11-29,0.118235,0.146906,0.081436,0.089718,0.089718,210624992
2017-11-30,0.094930,0.128303,0.094930,0.119883,0.119883,124345000
2017-12-01,0.116622,0.131352,0.113031,0.131352,0.131352,73657600
2017-12-02,0.131633,0.138869,0.129132,0.132351,0.132351,56712600
2017-12-03,0.132351,0.139220,0.124945,0.131807,0.131807,46458900
2017-12-04,0.131546,0.145946,0.126350,0.135870,0.135870,76392704
2017-12-05,0.135625,0.136404,0.126777,0.127488,0.127488,50381100
2017-12-06,0.126748,0.132855,0.113886,0.117839,0.117839,75688800
2017-12-07,0.117766,0.124176,0.105501,0.105501,0.105501,71024600
2017-12-08,0.106142,0.120726,0.099136,0.115465,0.115465,70092400
2017-12-09,0.114745,0.138660,0.113561,0.119609,0.119609,63308600
2017-12-10,0.119794,0.119794,0.100133,0.110281,0.110281,46376600
2017-12-11,0.108927,0.121383,0.108638,0.121383,0.121383,39513900
2017-12-12,0.121177,0.138008,0.114222,0.133891,0.133891,60056800
